RTINumber,Template,Subject,MainMessage,User Query
1151316,EPF Transfer Status,The present status of updation of my Aadhar card in the EPF portal; EPF account number [MASKED_ID],"I had applied for transfer of my PF from my previous employer and have waited for a long period for confirmation of the same. My requested PF transfer has not been processed.\n \nFollowing are my PF transfer details:\n \nMy EPF account number : [MASKED_ID] \n \nPrevious Employer : HDBFS \n \nCurrent Employer : HDBFS \n \nEPF office holding old account : Maharashtra \n \nEPF office holding new account : Maharashtra \n \nTransfer application date : [MASKED_DATE]\n \n 1st BANII/E/2022/25574 , 2nd complain ID - BANII/E/2022/28071.submitted all documents also in grievance portal also.unable to seeding my aadhar with PF account.title have to change in portal Please confirm status of my EPF transfer and advise the reason for the delay.","Subject: The present status of updation of my Aadhar card in the EPF portal; EPF account number [MASKED_ID]

I had applied for transfer of my PF from my previous employer and have waited for a long period for confirmation of the same. My requested PF transfer has not been processed.\n \nFollowing are my PF transfer details:\n \nMy EPF account number : [MASKED_ID] \n \nPrevious Employer : HDBFS \n \nCurrent Employer : HDBFS \n \nEPF office holding old account : Maharashtra \n \nEPF office holding new account : Maharashtra \n \nTransfer application date : [MASKED_DATE]\n \n 1st BANII/E/2022/25574 , 2nd complain ID - BANII/E/2022/28071.submitted all documents also in grievance portal also.unable to seeding my aadhar with PF account.title have to change in portal Please confirm status of my EPF transfer and advise the reason for the delay."
1159345,EPF Transfer Status,The status of my EPF transfer; EPF Account number- [MASKED_ID],"""I had applied for transfer of my PF from my previous employer and have waited for a long period for confirmation of the same. My requested PF transfer has not been processed.
 
 Following are my PF transfer details:
 
 My EPF account number : [MASKED_ID] 
 Previous Employer : IBM 
 
 Current Employer : Kyndryl 
 
 EPF office holding old account : (SRO) K R PURAM (WHITEFIELD) 
 
 EPF office holding new account : (SRO) BOMMASANDRA 
 
 PF Amount from Previous Employer (IBM) not yet transferred to Current PF account (Kyndryl). Clarification on EPS contribution is already been submitted by my previous employer to PF office on [MASKED_DATE].
 
 As per the order of the Central Information Commission in case titled V.Vaidyanathan vs PIO, EPFO Mumbai bearing no. CIC/BS/C/2014/000321, it has been held that any grievance and/or information relating to pension has to be dealt with, within a period of 48 hours from the receipt of a pension related application.
 
 1)Please confirm status of my EPF transfer and advise the reason for the delay.
 
 2)The daily progress on my EPF transfer request.
 
 3)The name and the designation of the officers entrusted with the responsibility of the EPF transfer in the department.
 
 4)Under section 2 (j), please provide a certified copy of the rules for the EPF transfer.
 
 5)Please provide copies of the file notification indicating my EPF transfer request from the date of receipt till date by the concerned officials. I would also like to inspect all documents relating to my case.
 
 6)The prescribed timeline as per your rules, for EPF transfers.
 
 7)Date by when I can expect transfer of my EPF.
 
 8) The total number of such EPF transfer requests, pending till my request got submitted to PF department.""","Subject: The status of my EPF transfer; EPF Account number- [MASKED_ID]

""I had applied for transfer of my PF from my previous employer and have waited for a long period for confirmation of the same. My requested PF transfer has not been processed.
 
 Following are my PF transfer details:
 
 My EPF account number : [MASKED_ID] 
 Previous Employer : IBM 
 
 Current Employer : Kyndryl 
 
 EPF office holding old account : (SRO) K R PURAM (WHITEFIELD) 
 
 EPF office holding new account : (SRO) BOMMASANDRA 
 
 PF Amount from Previous Employer (IBM) not yet transferred to Current PF account (Kyndryl). Clarification on EPS contribution is already been submitted by my previous employer to PF office on [MASKED_DATE].
 
 As per the order of the Central Information Commission in case titled V.Vaidyanathan vs PIO, EPFO Mumbai bearing no. CIC/BS/C/2014/000321, it has been held that any grievance and/or information relating to pension has to be dealt with, within a period of 48 hours from the receipt of a pension related application.
 
 1)Please confirm status of my EPF transfer and advise the reason for the delay.
 
 2)The daily progress on my EPF transfer request.
 
 3)The name and the designation of the officers entrusted with the responsibility of the EPF transfer in the department.
 
 4)Under section 2 (j), please provide a certified copy of the rules for the EPF transfer.
 
 5)Please provide copies of the file notification indicating my EPF transfer request from the date of receipt till date by the concerned officials. I would also like to inspect all documents relating to my case.
 
 6)The prescribed timeline as per your rules, for EPF transfers.
 
 7)Date by when I can expect transfer of my EPF.
 
 8) The total number of such EPF transfer requests, pending till my request got submitted to PF department."""
1132911,MPLAD Scheme Details,Information Regarding - The works awarded during the period 2019 - 2022 for the [MASKED_NAME] constituency out of the mp funds,This RTI Application is regarding the following constituency\n \nConstituency : [MASKED_NAME] \n \nDistrict : East Godavari \n \nYear : 2019 to 2022\n \nPlease inform how MP funds were used for the above period.,"Subject: Information Regarding - The works awarded during the period 2019 - 2022 for the [MASKED_NAME] constituency out of the mp funds

This RTI Application is regarding the following constituency\n \nConstituency : [MASKED_NAME] \n \nDistrict : East Godavari \n \nYear : 2019 to 2022\n \nPlease inform how MP funds were used for the above period."
1134089,MPLAD Scheme Details,Information Regarding - MLA and MP Local Area Development Fund allocation and work done,This RTI Application is regarding the following constituency\n \nConstituency : [MASKED_NAME]\n \nDistrict : kalaburagi\n \nYear : 2018 to 2022\n \nPlease inform how MP funds were used for the above period.,"Subject: Information Regarding - MLA and MP Local Area Development Fund allocation and work done

This RTI Application is regarding the following constituency\n \nConstituency : [MASKED_NAME]\n \nDistrict : kalaburagi\n \nYear : 2018 to 2022\n \nPlease inform how MP funds were used for the above period."
1138781,MPLAD Scheme Details,Information Regarding - MP Fund,This RTI Application is regarding the following constituency\n \nConstituency : [MASKED_NAME] \n \nDistrict : Konaseema ambedkar district\n \nYear : 2019 to 2022\n \nPlease inform how MP funds were used for the above period.,"Subject: Information Regarding - MP Fund

This RTI Application is regarding the following constituency\n \nConstituency : [MASKED_NAME] \n \nDistrict : Konaseema ambedkar district\n \nYear : 2019 to 2022\n \nPlease inform how MP funds were used for the above period."
1145811,No Specific Template,Information Regarding - SI recruitment process of [MASKED_DATE],"""1. As per the recruitment of [MASKED_DATE] how many departmental males candidates si executives were recruited by Delhi police 
 
 2. That i wish to know how many males candidates si executives were joined and how many males candidates were qualified in recruitment process of [MASKED_DATE] males candidates si executives by the Delhi police .
 
 3. is the delhi police recruitment cell prepared the waiting list or reserve panel in this whole process of recruitment of si males executives in [MASKED_DATE]. if yes please share the copy of waiting l list of reserve panel.
 
 4. In the recruitment of si executives males departmental and open execution process cpo/cisf and Delhi police candidates by SSC recruitment [MASKED_DATE] whether the recruitment agency followed the d.o.p.t guidelines of 13/6/2000 or not please clarify. 
 
 5. i also wish to know please clarify the competent authority of the Delhi police recruitment cell that who is the senior officer appointed by the honorable CP Delhi in this whole process of of recruitment Delhi police si executives males in [MASKED_DATE]
 
 6. kindle share the details that in recruitment si males executives and departmental and open category how many candidates were selected and how many were joining letters issued by the r/ cell DelhiHw police NPRL and how many joined in [MASKED_DATE] 
 
 7 . As per recruitment of [MASKED_DATE] by the delgi police si executives males candidates open and departmental how many candidates were joined in PTC jarodha kalan as per training beat no- 48 kindly share the figure""","Subject: Information Regarding - SI recruitment process of [MASKED_DATE]

""1. As per the recruitment of [MASKED_DATE] how many departmental males candidates si executives were recruited by Delhi police 
 
 2. That i wish to know how many males candidates si executives were joined and how many males candidates were qualified in recruitment process of [MASKED_DATE] males candidates si executives by the Delhi police .
 
 3. is the delhi police recruitment cell prepared the waiting list or reserve panel in this whole process of recruitment of si males executives in [MASKED_DATE]. if yes please share the copy of waiting l list of reserve panel.
 
 4. In the recruitment of si executives males departmental and open execution process cpo/cisf and Delhi police candidates by SSC recruitment [MASKED_DATE] whether the recruitment agency followed the d.o.p.t guidelines of 13/6/2000 or not please clarify. 
 
 5. i also wish to know please clarify the competent authority of the Delhi police recruitment cell that who is the senior officer appointed by the honorable CP Delhi in this whole process of of recruitment Delhi police si executives males in [MASKED_DATE]
 
 6. kindle share the details that in recruitment si males executives and departmental and open category how many candidates were selected and how many were joining letters issued by the r/ cell DelhiHw police NPRL and how many joined in [MASKED_DATE] 
 
 7 . As per recruitment of [MASKED_DATE] by the delgi police si executives males candidates open and departmental how many candidates were joined in PTC jarodha kalan as per training beat no- 48 kindly share the figure"""
1133084,No Specific Template,The rules followed for internal promotion for Junior Assistants and Clerk cum Typists at [MASKED_COMPANY_NAME].,"""1. What are the rules followed for internal promotion for junior assistants and clerk cum\ntypists at [MASKED_COMPANY_NAME]?\
 2. How many casual leaves, child care leaves, academic leaves, and any other leaves are\neligible for teaching staff and non-teaching staff?\n3. Please provide details of individual teaching staff and non-teaching staff of Engineering\ncolleges who have taken casual leaves, medical leaves, academic leaves, and any other\nleaves from 2020–2021 to July 2022. Kindly provide us with sanctioned letters.\n4. How many posts are sanctioned (Teaching and Non-Teaching) in all three engineering\ncolleges at [MASKED_COMPANY_NAME]? Kindly provide details?\n5. What are the rules followed for the appointment of a principal at engineering colleges?\n6. What is the status of the fake certificate verification? What are the punishments given?\n7. How many teachers have applied for study leave? What are the guidelines for adhering to\nobtaining study leave? What are the certificates provided every six months for extension\nof leave?\n8. As per rules, how many classes should be conducted in a semester to complete the\nsyllabus of a subject?\n9. How much budget has been allocated for the 2018-19 to 2022-2023 financial years for\nengineering colleges?\n1. The budgeted amount head wise 2. Expenditure head wise\n10. How many branches are affiliated as per AICTE norms in engineering colleges? All\nengineering colleges affiliated to AICTE or not?\n11. What are the rules followed for contractual teacher appointments at [MASKED_COMPANY_NAME]? Kindly provide details of all the contractual staff details with qualifications and roster points.\n12. Even though government auditors are available in universities, why is an external\ncchartered accountant appointed? Why the huge amount paid to the auditors?\n13. What is the current state of solar power panels of University? How much power is\ngenerated and how much power is saved?\n14. How much has been spent for the development of [MASKED_COMPANY_NAME] till date? Kindly provide details?\n15. What is the status of the ACB case in [MASKED_COMPANY_NAME]? What are the\nactions taken against employees who are involved in ACB cases?\n16. What are the family pension rules? Is it eligible for employee (In service)?\n17. What is the maximum time period for qualified internal promotion examination employees (if\nthe position is not available)?""","Subject: The rules followed for internal promotion for Junior Assistants and Clerk cum Typists at [MASKED_COMPANY_NAME].

""1. What are the rules followed for internal promotion for junior assistants and clerk cum\ntypists at [MASKED_COMPANY_NAME]?\
 2. How many casual leaves, child care leaves, academic leaves, and any other leaves are\neligible for teaching staff and non-teaching staff?\n3. Please provide details of individual teaching staff and non-teaching staff of Engineering\ncolleges who have taken casual leaves, medical leaves, academic leaves, and any other\nleaves from 2020–2021 to July 2022. Kindly provide us with sanctioned letters.\n4. How many posts are sanctioned (Teaching and Non-Teaching) in all three engineering\ncolleges at [MASKED_COMPANY_NAME]? Kindly provide details?\n5. What are the rules followed for the appointment of a principal at engineering colleges?\n6. What is the status of the fake certificate verification? What are the punishments given?\n7. How many teachers have applied for study leave? What are the guidelines for adhering to\nobtaining study leave? What are the certificates provided every six months for extension\nof leave?\n8. As per rules, how many classes should be conducted in a semester to complete the\nsyllabus of a subject?\n9. How much budget has been allocated for the 2018-19 to 2022-2023 financial years for\nengineering colleges?\n1. The budgeted amount head wise 2. Expenditure head wise\n10. How many branches are affiliated as per AICTE norms in engineering colleges? All\nengineering colleges affiliated to AICTE or not?\n11. What are the rules followed for contractual teacher appointments at [MASKED_COMPANY_NAME]? Kindly provide details of all the contractual staff details with qualifications and roster points.\n12. Even though government auditors are available in universities, why is an external\ncchartered accountant appointed? Why the huge amount paid to the auditors?\n13. What is the current state of solar power panels of University? How much power is\ngenerated and how much power is saved?\n14. How much has been spent for the development of [MASKED_COMPANY_NAME] till date? Kindly provide details?\n15. What is the status of the ACB case in [MASKED_COMPANY_NAME]? What are the\nactions taken against employees who are involved in ACB cases?\n16. What are the family pension rules? Is it eligible for employee (In service)?\n17. What is the maximum time period for qualified internal promotion examination employees (if\nthe position is not available)?"""
1161778,No Specific Template,"A certified list of students who got admission under EWS category in session 2012 and of 2013 in Lancer convent school, Prashant Vihar, Delhi.","1.DETAILS REQUIRED OF STUDENTS WHO GOT ADMISSION UNDER [MASKED_NAME] CATEGORY IN ACADEMIC SESSION 2012 and 2013 OF LANCER CONVENT SCHOOL PRASHANT VIHAR,DELHI\n2.FURTHER REQUIRED AT PRESENT STATUS/ CATEGORY DETAILS AS ON [MASKED_DATE]'S STUDENTS UNDER EWS CATEGORY WHO GOT ADMISSION UNDER ACADEMIC SESSION 2012 and 2013 OF LANCER CONVENT SCHOOL PRASHANT VIHAR DELHI","Subject: A certified list of students who got admission under EWS category in session 2012 and of 2013 in Lancer convent school, Prashant Vihar, Delhi.

1.DETAILS REQUIRED OF STUDENTS WHO GOT ADMISSION UNDER [MASKED_NAME] CATEGORY IN ACADEMIC SESSION 2012 and 2013 OF LANCER CONVENT SCHOOL PRASHANT VIHAR,DELHI\n2.FURTHER REQUIRED AT PRESENT STATUS/ CATEGORY DETAILS AS ON [MASKED_DATE]'S STUDENTS UNDER EWS CATEGORY WHO GOT ADMISSION UNDER ACADEMIC SESSION 2012 and 2013 OF LANCER CONVENT SCHOOL PRASHANT VIHAR DELHI"
1142451,No Specific Template,The daily progress made on my application dated [MASKED_DATE] for covid insurance money of Rs. 1 lakh,"I’m [MASKED_NAME], M.B.B.S. from Medical college and hospital, Kolkata. During my internship, I suffered from Covid-19 infection. I was diagnosed on [MASKED_DATE] and was then admitted in my own hospital for adequate duration. Being a frontline covid worker, I am entitled to covid insurance money of Rs. 1 lakh as per government of West Bengal, in pursuance of order number HF/0/COVID-19/[MASKED_ID] dated [MASKED_DATE]. I have submitted the needed documents twice but am still waiting for the claim since past 2 years. I would like to know the current status of my application, why have I not received my fair share yet and when will I get it. \nThankyou.","Subject: The daily progress made on my application dated [MASKED_DATE] for covid insurance money of Rs. 1 lakh

I’m [MASKED_NAME], M.B.B.S. from Medical college and hospital, Kolkata. During my internship, I suffered from Covid-19 infection. I was diagnosed on [MASKED_DATE] and was then admitted in my own hospital for adequate duration. Being a frontline covid worker, I am entitled to covid insurance money of Rs. 1 lakh as per government of West Bengal, in pursuance of order number HF/0/COVID-19/[MASKED_ID] dated [MASKED_DATE]. I have submitted the needed documents twice but am still waiting for the claim since past 2 years. I would like to know the current status of my application, why have I not received my fair share yet and when will I get it. \nThankyou."
1167620,No Specific Template,The total [MASKED_NAME] population of Kerala according to [MASKED_DATE],"Please provide the statistics of [MASKED_NAME] population of Kerala according to [MASKED_DATE] census as in age group 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, and 90 and above separately for male and female.","Subject: The total [MASKED_NAME] population of Kerala according to [MASKED_DATE]

Please provide the statistics of [MASKED_NAME] population of Kerala according to [MASKED_DATE] census as in age group 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, and 90 and above separately for male and female."
1160444,No Specific Template,Information Regarding - certified copy of the medical records of Patient [MASKED_NAME).,I AM [MASKED_NAME]\n I TAKE MEDICAL REPORT ATTESTED COPY OF MY WIFE [MASKED_NAME] TO DISTRICT CIVIL HOSPITAL CHARKHI DADRI WHO ADMITTED THEIR [MASKED_DATE].,"Subject: Information Regarding - certified copy of the medical records of Patient [MASKED_NAME).

I AM [MASKED_NAME]\n I TAKE MEDICAL REPORT ATTESTED COPY OF MY WIFE [MASKED_NAME] TO DISTRICT CIVIL HOSPITAL CHARKHI DADRI WHO ADMITTED THEIR [MASKED_DATE]."
1172174,No Specific Template,The rules and procedures to obtain the Meter and Security amount submitted for Consumer No [MASKED_ID],[MASKED_NAME] ke naam se JBVNL se CS ki 1kw ki ek connection [MASKED_DATE] ko liya tha shop ke liye.jiski consumer no [MASKED_ID] hai .jo kisi karan bash shop bandh kerne ke karan mai [MASKED_DATE] ko connection surrender ker diya .subdivision se connection cit diya aur metre le gaya .ab mai metre aur security deposite ke liye kaha aur kaise aur kabtak refund paunga .batane ke kripa kare.,"Subject: The rules and procedures to obtain the Meter and Security amount submitted for Consumer No [MASKED_ID]

[MASKED_NAME] ke naam se JBVNL se CS ki 1kw ki ek connection [MASKED_DATE] ko liya tha shop ke liye.jiski consumer no [MASKED_ID] hai .jo kisi karan bash shop bandh kerne ke karan mai [MASKED_DATE] ko connection surrender ker diya .subdivision se connection cit diya aur metre le gaya .ab mai metre aur security deposite ke liye kaha aur kaise aur kabtak refund paunga .batane ke kripa kare."
1171901,No Specific Template,A certified copy of the Prior deed and execute receipt of the partition of the property bearing [MASKED_TP_NUMBER].,"Our Ancestral property bearing [MASKED_TP_NUMBER] has been partioned and pokuvaravu \n done Tp [MASKED_TP_NUMBER], Tp [MASKED_TP_NUMBER] done by Maradu Village Office. A copy of execute receipt required and want to know how it is partly done when it is applicable to all parties.","Subject: A certified copy of the Prior deed and execute receipt of the partition of the property bearing [MASKED_TP_NUMBER].

Our Ancestral property bearing [MASKED_TP_NUMBER] has been partioned and pokuvaravu \n done Tp [MASKED_TP_NUMBER], Tp [MASKED_TP_NUMBER] done by Maradu Village Office. A copy of execute receipt required and want to know how it is partly done when it is applicable to all parties."
1175493,No Specific Template,"RERA approval obtained for Paint house above 13th floor on Mangalam City, Adityapur, Saraikela Kharsawan.","I want to know the details of ptoject [MASKED_ID]/PROJECT/[MASKED_ID]/2020, Mangalam City, Adityapur, Saraikela kharsawan. I want to know the approved total number of floors of Tower #5, its Fire fighting plan as high rise building, Lift emergency procedures from RERA Ranchi, working under ministry of Housing and Urban Affairs","Subject: RERA approval obtained for Paint house above 13th floor on Mangalam City, Adityapur, Saraikela Kharsawan.

I want to know the details of ptoject [MASKED_ID]/PROJECT/[MASKED_ID]/2020, Mangalam City, Adityapur, Saraikela kharsawan. I want to know the approved total number of floors of Tower #5, its Fire fighting plan as high rise building, Lift emergency procedures from RERA Ranchi, working under ministry of Housing and Urban Affairs"
1139079,No Specific Template,The marriage registrar under [MASKED_COMPANY_NAME],"I need information regarding marriage registrar under Foreign Marriages Act\nAddress of Registrar and its contact number,mail-id,and website related information about marriage registrar under Foreign Marriages Act","Subject: The marriage registrar under [MASKED_COMPANY_NAME]

I need information regarding marriage registrar under Foreign Marriages Act\nAddress of Registrar and its contact number,mail-id,and website related information about marriage registrar under Foreign Marriages Act"
